Ngày đăng bài,Tên,Năm sản xuất,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Trạng thái,Nhiên Liệu,Giá
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
21/09/2025,Mazda CX-5 2.0 Luxury 2012,2012,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,399 triệu
21/09/2025,Toyota Fortuner 2.7 V 4X2 AT 2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,8.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
24/09/2025,Toyota Vios Limo 2010,2010,Trong nước,Tân Yên - Bắc Giang,Sedan,40 km,Số sàn,Xe cũ,Máy xăng,116 triệu
26/09/2025,Daewoo Matiz SE 2004,2004,Trong nước,Hoàng Mai - Hà Nội,Hatchback,11.000 km,Số sàn,Xe cũ,Máy xăng,58 triệu
25/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2020,2020,Trong nước,Cầu Giấy - Hà Nội,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
25/09/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2021,2021,Trong nước,Cầu Giấy - Hà Nội,SUV,75.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
25/09/2025,Toyota Camry 2.5G 2009,2009,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,156.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
24/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,289 triệu
27/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Tân Uyên - Bình Dương,Sedan,64.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
27/09/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Tây Hồ - Hà Nội,SUV,233.000 km,Số tự động,Xe cũ,Máy dầu,830 triệu
27/09/2025,MG ZS 1.5 2WD Comfort 2020,2020,Nhập khẩu,Hạ Long - Quảng Ninh,SUV,69.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
27/09/2025,Ford Territory 1.5L Titanium 2022,2022,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,46.000 km,Số tự động,Xe cũ,Máy xăng,729 triệu
27/09/2025,Mitsubishi Triton 4×2 AT MIVEC 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,73.000 km,Số tự động,Xe cũ,Máy dầu,495 triệu
26/09/2025,Hyundai Grand i10 Sedan 1.2 AT 2019,2019,Trong nước,Quận 6 - Tp.HCM,Hatchback,70.000 km,Số tự động,Xe cũ,Máy xăng,305 triệu
20/09/2025,Nissan X trail 2.5 SV 4WD 2019,2019,Trong nước,Thanh Xuân - Hà Nội,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,605 triệu
